model,Model:,AIC:,Link Function:,BIC:,Dependent Variable:,Log-Likelihood:,LL-Null:,No. Observations:,Deviance:,Df Model:,Pearson chi2:,Df Residuals:,Scale:,Method:
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.3107,Log,-3858.6861,obamacare_test_recommendations_implicit__both_0,-190.16,-232.37,617,66.909,5,66.9,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.631,Log,-3852.4443,obamacare_test_recommendations_implicit__both_0,-189.32,-232.41,617,66.726,6,66.7,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.7449,Log,-3871.0515,obamacare_test_recommendations_implicit__both_0,-192.37,-232.22,617,67.393,3,67.4,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.8749,Log,-3858.6249,obamacare_test_recommendations_implicit__both_0,-190.44,-232.33,617,66.97,5,67,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.9472,Log,-3858.6171,obamacare_test_recommendations_implicit__both_0,-190.47,-232.33,617,66.978,5,67,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,392.9722,Log,-3858.6144,obamacare_test_recommendations_implicit__both_0,-190.49,-232.33,617,66.981,5,67,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,393.1291,Log,-3858.5973,obamacare_test_recommendations_implicit__both_0,-190.56,-232.32,617,66.998,5,67,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,393.1812,Log,-3846.1774,obamacare_test_recommendations_implicit__both_0,-188.59,-232.44,617,66.568,7,66.6,609,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,393.3223,Log,-3864.7826,obamacare_test_recommendations_implicit__both_0,-191.66,-232.24,617,67.237,4,67.2,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,393.4487,Log,-3870.9746,obamacare_test_recommendations_implicit__both_0,-192.72,-232.17,617,67.47,3,67.5,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,393.5405,Log,-3852.3459,obamacare_test_recommendations_implicit__both_0,-189.77,-232.35,617,66.824,6,66.8,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,394.004,Log,-3864.7083,obamacare_test_recommendations_implicit__both_0,-192,-232.2,617,67.312,4,67.3,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,394.5835,Log,-3870.8504,obamacare_test_recommendations_implicit__both_0,-193.29,-232.11,617,67.594,3,67.6,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,394.6985,Log,-3864.6325,obamacare_test_recommendations_implicit__both_0,-192.35,-232.16,617,67.387,4,67.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,394.8116,Log,-3852.2081,obamacare_test_recommendations_implicit__both_0,-190.41,-232.27,617,66.962,6,67,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,394.8207,Log,-3864.6191,obamacare_test_recommendations_implicit__both_0,-192.41,-232.15,617,67.401,4,67.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.0739,Log,-3858.3858,obamacare_test_recommendations_implicit__both_0,-191.54,-232.2,617,67.209,5,67.2,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.1123,Log,-3864.5873,obamacare_test_recommendations_implicit__both_0,-192.56,-232.13,617,67.433,4,67.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.3487,Log,-3864.5614,obamacare_test_recommendations_implicit__both_0,-192.67,-232.12,617,67.458,4,67.5,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.4791,Log,-3870.7522,obamacare_test_recommendations_implicit__both_0,-193.74,-232.05,617,67.693,3,67.7,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.63,Log,-3864.5307,obamacare_test_recommendations_implicit__both_0,-192.82,-232.1,617,67.489,4,67.5,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,395.9484,Log,-3864.4958,obamacare_test_recommendations_implicit__both_0,-192.97,-232.08,617,67.524,4,67.5,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.017,Log,-3870.6931,obamacare_test_recommendations_implicit__both_0,-194.01,-232.02,617,67.752,3,67.8,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.2581,Log,-3858.2567,obamacare_test_recommendations_implicit__both_0,-192.13,-232.13,617,67.338,5,67.3,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.3684,Log,-3864.4499,obamacare_test_recommendations_implicit__both_0,-193.18,-232.06,617,67.57,4,67.6,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.5875,Log,-3864.4259,obamacare_test_recommendations_implicit__both_0,-193.29,-232.05,617,67.594,4,67.6,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.6064,Log,-3858.2187,obamacare_test_recommendations_implicit__both_0,-192.3,-232.1,617,67.376,5,67.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.7515,Log,-3858.2028,obamacare_test_recommendations_implicit__both_0,-192.38,-232.1,617,67.392,5,67.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.8821,Log,-3858.1885,obamacare_test_recommendations_implicit__both_0,-192.44,-232.09,617,67.406,5,67.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,396.9319,Log,-3858.1831,obamacare_test_recommendations_implicit__both_0,-192.47,-232.09,617,67.412,5,67.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.1991,Log,-3858.1539,obamacare_test_recommendations_implicit__both_0,-192.6,-232.07,617,67.441,5,67.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.3736,Log,-3864.3397,obamacare_test_recommendations_implicit__both_0,-193.69,-232,617,67.68,4,67.7,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.3891,Log,-3864.338,obamacare_test_recommendations_implicit__both_0,-193.69,-232,617,67.682,4,67.7,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.7511,Log,-3870.5024,obamacare_test_recommendations_implicit__both_0,-194.88,-231.92,617,67.942,3,67.9,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.8814,Log,-3858.0793,obamacare_test_recommendations_implicit__both_0,-192.94,-232.03,617,67.516,5,67.5,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.9234,Log,-3864.2794,obamacare_test_recommendations_implicit__both_0,-193.96,-231.97,617,67.74,4,67.7,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,397.9619,Log,-3851.8653,obamacare_test_recommendations_implicit__both_0,-191.98,-232.08,617,67.305,6,67.3,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.1212,Log,-3858.053,obamacare_test_recommendations_implicit__both_0,-193.06,-232.02,617,67.542,5,67.5,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.2606,Log,-3876.6498,obamacare_test_recommendations_implicit__both_0,-196.13,-231.84,617,68.22,2,68.2,614,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.3751,Log,-3858.0252,obamacare_test_recommendations_implicit__both_0,-193.19,-232,617,67.57,5,67.6,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.7115,Log,-3857.9884,obamacare_test_recommendations_implicit__both_0,-193.36,-231.98,617,67.607,5,67.6,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.7409,Log,-3851.7803,obamacare_test_recommendations_implicit__both_0,-192.37,-232.04,617,67.39,6,67.4,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,398.9355,Log,-3864.1681,obamacare_test_recommendations_implicit__both_0,-194.47,-231.91,617,67.852,4,67.9,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,399.153,Log,-3870.3479,obamacare_test_recommendations_implicit__both_0,-195.58,-231.84,617,68.097,3,68.1,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,399.6721,Log,-3851.6785,obamacare_test_recommendations_implicit__both_0,-192.84,-231.98,617,67.492,6,67.5,610,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,399.7232,Log,-3864.0815,obamacare_test_recommendations_implicit__both_0,-194.86,-231.87,617,67.938,4,67.9,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,400.2648,Log,-3870.2251,obamacare_test_recommendations_implicit__both_0,-196.13,-231.78,617,68.22,3,68.2,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,400.929,Log,-3857.745,obamacare_test_recommendations_implicit__both_0,-194.46,-231.86,617,67.85,5,67.8,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,401.1602,Log,-3863.9231,obamacare_test_recommendations_implicit__both_0,-195.58,-231.79,617,68.097,4,68.1,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,402.0684,Log,-3870.0254,obamacare_test_recommendations_implicit__both_0,-197.03,-231.68,617,68.419,3,68.4,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size,GLM,402.743,Log,-3876.1524,obamacare_test_recommendations_implicit__both_0,-198.37,-231.6,617,68.717,2,68.7,614,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,403.1995,Log,-3863.6976,obamacare_test_recommendations_implicit__both_0,-196.6,-231.68,617,68.322,4,68.3,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,403.3695,Log,-3869.8809,obamacare_test_recommendations_implicit__both_0,-197.68,-231.62,617,68.564,3,68.6,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,403.7304,Log,-3863.6388,obamacare_test_recommendations_implicit__both_0,-196.87,-231.65,617,68.381,4,68.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,403.9909,Log,-3863.6099,obamacare_test_recommendations_implicit__both_0,-197,-231.64,617,68.41,4,68.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,404.0021,Log,-3863.6087,obamacare_test_recommendations_implicit__both_0,-197,-231.64,617,68.411,4,68.4,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,404.1651,Log,-3869.7925,obamacare_test_recommendations_implicit__both_0,-198.08,-231.58,617,68.652,3,68.7,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,404.6094,Log,-3869.743,obamacare_test_recommendations_implicit__both_0,-198.3,-231.55,617,68.702,3,68.7,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,404.8486,Log,-3863.5148,obamacare_test_recommendations_implicit__both_0,-197.42,-231.59,617,68.505,4,68.5,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.2081,Log,-3857.2728,obamacare_test_recommendations_implicit__both_0,-196.6,-231.62,617,68.322,5,68.3,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.5104,Log,-3869.6426,obamacare_test_recommendations_implicit__both_0,-198.76,-231.51,617,68.802,3,68.8,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.6747,Log,-3857.2211,obamacare_test_recommendations_implicit__both_0,-196.84,-231.6,617,68.374,5,68.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.7111,Log,-3857.2171,obamacare_test_recommendations_implicit__both_0,-196.86,-231.6,617,68.378,5,68.4,611,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.7941,Log,-3875.8117,obamacare_test_recommendations_implicit__both_0,-199.9,-231.44,617,69.058,2,69.1,614,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,405.8705,Log,-3869.6025,obamacare_test_recommendations_implicit__both_0,-198.94,-231.49,617,68.842,3,68.8,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_implicit__both_0,GLM,406.0835,Log,-3863.3775,obamacare_test_recommendations_implicit__both_0,-198.04,-231.53,617,68.642,4,68.6,612,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,406.2898,Log,-3869.5557,obamacare_test_recommendations_implicit__both_0,-199.14,-231.47,617,68.889,3,68.9,613,0,IRLS
obamacare_test_recommendations_implicit__both_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_implicit__both_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_implicit__both_0,GLM,406.5178,Log,-3863.3292,obamacare_test_recommendations_implicit__both_0,-198.26,-231.51,617,68.691,4,68.7,612,0,IRLS
